fecha,cierre
17/09/2014 23:59,457.3340148925781
18/09/2014 23:59,424.44000244140625
19/09/2014 23:59,394.7959899902344
20/09/2014 23:59,408.90399169921875
21/09/2014 23:59,398.8210144042969
22/09/2014 23:59,402.1520080566406
23/09/2014 23:59,435.7909851074219
24/09/2014 23:59,423.2049865722656
25/09/2014 23:59,411.5740051269531
26/09/2014 23:59,404.42498779296875
27/09/2014 23:59,399.5199890136719
28/09/2014 23:59,377.1809997558594
29/09/2014 23:59,375.4670104980469
30/09/2014 23:59,386.9440002441406
01/10/2014 23:59,383.614990234375
02/10/2014 23:59,375.0719909667969
03/10/2014 23:59,359.5119934082031
04/10/2014 23:59,328.8659973144531
05/10/2014 23:59,320.510009765625
06/10/2014 23:59,330.0790100097656
07/10/2014 23:59,336.18701171875
08/10/2014 23:59,352.94000244140625
09/10/2014 23:59,365.0260009765625
10/10/2014 23:59,361.56201171875
11/10/2014 23:59,362.29901123046875
12/10/2014 23:59,378.54901123046875
13/10/2014 23:59,390.41400146484375
14/10/2014 23:59,400.8699951171875
15/10/2014 23:59,394.77301025390625
16/10/2014 23:59,382.5559997558594
17/10/2014 23:59,383.75799560546875
18/10/2014 23:59,391.4419860839844
19/10/2014 23:59,389.5459899902344
20/10/2014 23:59,382.8450012207031
21/10/2014 23:59,386.4750061035156
22/10/2014 23:59,383.1579895019531
23/10/2014 23:59,358.4169921875
24/10/2014 23:59,358.3450012207031
25/10/2014 23:59,347.27099609375
26/10/2014 23:59,354.7040100097656
27/10/2014 23:59,352.989013671875
28/10/2014 23:59,357.6180114746094
29/10/2014 23:59,335.59100341796875
30/10/2014 23:59,345.30499267578125
31/10/2014 23:59,338.3210144042969
01/11/2014 23:59,325.7489929199219
02/11/2014 23:59,325.8919982910156
03/11/2014 23:59,327.5539855957031
04/11/2014 23:59,330.49200439453125
05/11/2014 23:59,339.4859924316406
06/11/2014 23:59,349.2900085449219
07/11/2014 23:59,342.4150085449219
08/11/2014 23:59,345.4880065917969
09/11/2014 23:59,363.2640075683594
10/11/2014 23:59,366.92401123046875
11/11/2014 23:59,367.69500732421875
12/11/2014 23:59,423.5610046386719
13/11/2014 23:59,420.7349853515625
14/11/2014 23:59,397.8179931640625
15/11/2014 23:59,376.13299560546875
16/11/2014 23:59,387.8819885253906
17/11/2014 23:59,387.4079895019531
18/11/2014 23:59,375.197998046875
19/11/2014 23:59,380.55499267578125
20/11/2014 23:59,357.8399963378906
21/11/2014 23:59,350.8479919433594
22/11/2014 23:59,352.9200134277344
23/11/2014 23:59,367.572998046875
24/11/2014 23:59,376.9010009765625
25/11/2014 23:59,375.3479919433594
26/11/2014 23:59,368.3699951171875
27/11/2014 23:59,369.6700134277344
28/11/2014 23:59,376.4469909667969
29/11/2014 23:59,375.4909973144531
30/11/2014 23:59,378.0469970703125
01/12/2014 23:59,379.2449951171875
02/12/2014 23:59,381.31500244140625
03/12/2014 23:59,375.010009765625
04/12/2014 23:59,369.60400390625
05/12/2014 23:59,376.85400390625
06/12/2014 23:59,374.7850036621094
07/12/2014 23:59,375.0950012207031
08/12/2014 23:59,361.90899658203125
09/12/2014 23:59,352.218994140625
10/12/2014 23:59,346.364990234375
11/12/2014 23:59,350.5060119628906
12/12/2014 23:59,352.5419921875
13/12/2014 23:59,347.3760070800781
14/12/2014 23:59,351.6319885253906
15/12/2014 23:59,345.3450012207031
16/12/2014 23:59,327.06201171875
17/12/2014 23:59,319.7760009765625
18/12/2014 23:59,311.39599609375
19/12/2014 23:59,317.8429870605469
20/12/2014 23:59,329.95599365234375
21/12/2014 23:59,320.8429870605469
22/12/2014 23:59,331.885986328125
23/12/2014 23:59,334.5719909667969
24/12/2014 23:59,322.53399658203125
25/12/2014 23:59,319.00799560546875
26/12/2014 23:59,327.92401123046875
27/12/2014 23:59,315.8630065917969
28/12/2014 23:59,317.239013671875
29/12/2014 23:59,312.6700134277344
30/12/2014 23:59,310.73699951171875
31/12/2014 23:59,320.1929931640625
01/01/2015 23:59,314.2489929199219
02/01/2015 23:59,315.0320129394531
03/01/2015 23:59,281.0820007324219
04/01/2015 23:59,264.19500732421875
05/01/2015 23:59,274.4739990234375
06/01/2015 23:59,286.1889953613281
07/01/2015 23:59,294.3370056152344
08/01/2015 23:59,283.3489990234375
09/01/2015 23:59,290.4079895019531
10/01/2015 23:59,274.7959899902344
11/01/2015 23:59,265.6600036621094
12/01/2015 23:59,267.7959899902344
13/01/2015 23:59,225.86099243164062
14/01/2015 23:59,178.10299682617188
15/01/2015 23:59,209.843994140625
16/01/2015 23:59,208.0970001220703
17/01/2015 23:59,199.25999450683594
18/01/2015 23:59,210.33900451660156
19/01/2015 23:59,214.86099243164062
20/01/2015 23:59,211.31500244140625
21/01/2015 23:59,226.89700317382812
22/01/2015 23:59,233.406005859375
23/01/2015 23:59,232.87899780273438
24/01/2015 23:59,247.8470001220703
25/01/2015 23:59,253.71800231933594
26/01/2015 23:59,273.4729919433594
27/01/2015 23:59,263.4750061035156
28/01/2015 23:59,233.9149932861328
29/01/2015 23:59,233.51300048828125
30/01/2015 23:59,226.4250030517578
31/01/2015 23:59,217.46400451660156
01/02/2015 23:59,226.9720001220703
02/02/2015 23:59,238.22900390625
03/02/2015 23:59,227.26800537109375
04/02/2015 23:59,226.85299682617188
05/02/2015 23:59,217.11099243164062
06/02/2015 23:59,222.26600646972656
07/02/2015 23:59,227.75399780273438
08/02/2015 23:59,223.41200256347656
09/02/2015 23:59,220.11000061035156
10/02/2015 23:59,219.83900451660156
11/02/2015 23:59,219.18499755859375
