fecha,apertura
03/06/2015 00:00,224.78
04/06/2015 00:00,225.11
05/06/2015 00:00,222.37
06/06/2015 00:00,224.49
07/06/2015 00:00,224.36
08/06/2015 00:00,222.86
09/06/2015 00:00,228.11
10/06/2015 00:00,229.49
11/06/2015 00:00,227.51
12/06/2015 00:00,229.01
13/06/2015 00:00,229.61
14/06/2015 00:00,231.51
15/06/2015 00:00,231.77
16/06/2015 00:00,235.92
17/06/2015 00:00,248.75
18/06/2015 00:00,245.78
19/06/2015 00:00,248.09
20/06/2015 00:00,243.42
21/06/2015 00:00,244.69
22/06/2015 00:00,243.37
23/06/2015 00:00,247.09
24/06/2015 00:00,243.78
25/06/2015 00:00,240.69
26/06/2015 00:00,241.65
27/06/2015 00:00,243.2
28/06/2015 00:00,251.17
29/06/2015 00:00,248.9
30/06/2015 00:00,256.38
01/07/2015 00:00,264.13
02/07/2015 00:00,257.07
03/07/2015 00:00,254.69
04/07/2015 00:00,255.86
05/07/2015 00:00,260.74
06/07/2015 00:00,270.33
07/07/2015 00:00,269.47
08/07/2015 00:00,266.18
09/07/2015 00:00,269.39
10/07/2015 00:00,269.65
11/07/2015 00:00,286.61
12/07/2015 00:00,292.02
13/07/2015 00:00,310.24
14/07/2015 00:00,292
15/07/2015 00:00,287.96
16/07/2015 00:00,285.55
17/07/2015 00:00,278.27
18/07/2015 00:00,279.43
19/07/2015 00:00,276.73
20/07/2015 00:00,275.5
21/07/2015 00:00,277.73
22/07/2015 00:00,276.48
23/07/2015 00:00,277.93
24/07/2015 00:00,276.67
25/07/2015 00:00,289.96
26/07/2015 00:00,289.34
27/07/2015 00:00,292.84
28/07/2015 00:00,294.27
29/07/2015 00:00,293.84
30/07/2015 00:00,289.63
31/07/2015 00:00,287.73
01/08/2015 00:00,284.39
02/08/2015 00:00,280.77
03/08/2015 00:00,281.5
04/08/2015 00:00,282.72
05/08/2015 00:00,284.65
06/08/2015 00:00,281.99
07/08/2015 00:00,281.99
08/08/2015 00:00,279.01
09/08/2015 00:00,261.71
10/08/2015 00:00,265.36
11/08/2015 00:00,264.33
12/08/2015 00:00,270
13/08/2015 00:00,268.51
14/08/2015 00:00,264.65
